Country,State,District,Category,Sub_Category,Year,Total_Crimes
Malaysia,Johor,Batu Pahat,assault,all,1/1/2021,60
Malaysia,Johor,Batu Pahat,assault,all,1/1/2022,52
Malaysia,Johor,Batu Pahat,assault,all,1/1/2023,88
Malaysia,Johor,Batu Pahat,assault,causing_injury,1/1/2021,22
Malaysia,Johor,Batu Pahat,assault,causing_injury,1/1/2022,19
Malaysia,Johor,Batu Pahat,assault,causing_injury,1/1/2023,22
Malaysia,Johor,Batu Pahat,assault,murder,1/1/2021,0
Malaysia,Johor,Batu Pahat,assault,murder,1/1/2022,3
Malaysia,Johor,Batu Pahat,assault,murder,1/1/2023,4
Malaysia,Johor,Batu Pahat,assault,rape,1/1/2021,18
Malaysia,Johor,Batu Pahat,assault,rape,1/1/2022,13
Malaysia,Johor,Batu Pahat,assault,rape,1/1/2023,19
Malaysia,Johor,Batu Pahat,assault,robbery_gang_armed,1/1/2021,0
Malaysia,Johor,Batu Pahat,assault,robbery_gang_armed,1/1/2022,0
Malaysia,Johor,Batu Pahat,assault,robbery_gang_armed,1/1/2023,0
Malaysia,Johor,Batu Pahat,assault,robbery_gang_unarmed,1/1/2021,9
Malaysia,Johor,Batu Pahat,assault,robbery_gang_unarmed,1/1/2022,5
Malaysia,Johor,Batu Pahat,assault,robbery_gang_unarmed,1/1/2023,16
Malaysia,Johor,Batu Pahat,assault,robbery_solo_armed,1/1/2021,0
Malaysia,Johor,Batu Pahat,assault,robbery_solo_armed,1/1/2022,0
Malaysia,Johor,Batu Pahat,assault,robbery_solo_armed,1/1/2023,0
Malaysia,Johor,Batu Pahat,assault,robbery_solo_unarmed,1/1/2021,11
Malaysia,Johor,Batu Pahat,assault,robbery_solo_unarmed,1/1/2022,12
Malaysia,Johor,Batu Pahat,assault,robbery_solo_unarmed,1/1/2023,27
Malaysia,Johor,Batu Pahat,property,all,1/1/2021,200
Malaysia,Johor,Batu Pahat,property,all,1/1/2022,262
Malaysia,Johor,Batu Pahat,property,all,1/1/2023,285
Malaysia,Johor,Batu Pahat,property,break_in,1/1/2021,55
Malaysia,Johor,Batu Pahat,property,break_in,1/1/2022,80
Malaysia,Johor,Batu Pahat,property,break_in,1/1/2023,87
Malaysia,Johor,Batu Pahat,property,theft_other,1/1/2021,72
Malaysia,Johor,Batu Pahat,property,theft_other,1/1/2022,83
Malaysia,Johor,Batu Pahat,property,theft_other,1/1/2023,109
Malaysia,Johor,Batu Pahat,property,theft_vehicle_lorry,1/1/2021,2
Malaysia,Johor,Batu Pahat,property,theft_vehicle_lorry,1/1/2022,7
Malaysia,Johor,Batu Pahat,property,theft_vehicle_lorry,1/1/2023,8
Malaysia,Johor,Batu Pahat,property,theft_vehicle_motorcar,1/1/2021,12
Malaysia,Johor,Batu Pahat,property,theft_vehicle_motorcar,1/1/2022,16
Malaysia,Johor,Batu Pahat,property,theft_vehicle_motorcar,1/1/2023,13
Malaysia,Johor,Batu Pahat,property,theft_vehicle_motorcycle,1/1/2021,59
Malaysia,Johor,Batu Pahat,property,theft_vehicle_motorcycle,1/1/2022,76
Malaysia,Johor,Batu Pahat,property,theft_vehicle_motorcycle,1/1/2023,68
Malaysia,Johor,Iskandar Puteri,assault,all,1/1/2021,68
Malaysia,Johor,Iskandar Puteri,assault,all,1/1/2022,80
Malaysia,Johor,Iskandar Puteri,assault,all,1/1/2023,123
Malaysia,Johor,Iskandar Puteri,assault,causing_injury,1/1/2021,20
Malaysia,Johor,Iskandar Puteri,assault,causing_injury,1/1/2022,30
Malaysia,Johor,Iskandar Puteri,assault,causing_injury,1/1/2023,45
Malaysia,Johor,Iskandar Puteri,assault,murder,1/1/2021,2
Malaysia,Johor,Iskandar Puteri,assault,murder,1/1/2022,3
Malaysia,Johor,Iskandar Puteri,assault,murder,1/1/2023,0
Malaysia,Johor,Iskandar Puteri,assault,rape,1/1/2021,4
Malaysia,Johor,Iskandar Puteri,assault,rape,1/1/2022,9
Malaysia,Johor,Iskandar Puteri,assault,rape,1/1/2023,7
Malaysia,Johor,Iskandar Puteri,assault,robbery_gang_armed,1/1/2021,1
Malaysia,Johor,Iskandar Puteri,assault,robbery_gang_armed,1/1/2022,0
Malaysia,Johor,Iskandar Puteri,assault,robbery_gang_armed,1/1/2023,0
Malaysia,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,1/1/2021,31
Malaysia,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,1/1/2022,21
Malaysia,Johor,Iskandar Puteri,assault,robbery_gang_unarmed,1/1/2023,52
Malaysia,Johor,Iskandar Puteri,assault,robbery_solo_armed,1/1/2021,0
Malaysia,Johor,Iskandar Puteri,assault,robbery_solo_armed,1/1/2022,0
Malaysia,Johor,Iskandar Puteri,assault,robbery_solo_armed,1/1/2023,0
Malaysia,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,1/1/2021,10
Malaysia,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,1/1/2022,17
Malaysia,Johor,Iskandar Puteri,assault,robbery_solo_unarmed,1/1/2023,19
Malaysia,Johor,Iskandar Puteri,property,all,1/1/2021,332
Malaysia,Johor,Iskandar Puteri,property,all,1/1/2022,356
Malaysia,Johor,Iskandar Puteri,property,all,1/1/2023,448
Malaysia,Johor,Iskandar Puteri,property,break_in,1/1/2021,68
